Date,Time,PrimaryType,Latitude,Longitude,Location
20130122,1945,THEFT,41.781734181,-87.608413399,"(41.781734181, -87.608413399)"
20130122,2100,MOTOR VEHICLE THEFT,41.783536745999996,-87.60965072799999,"(41.783536746, -87.609650728)"
20130122,2230,BATTERY,41.809043324,-87.608974909,"(41.809043324, -87.608974909)"
20130123,25,BATTERY,41.784971924000004,-87.61444523600002,"(41.784971924, -87.614445236)"
20130123,600,CRIMINAL DAMAGE,41.781711555,-87.60961258799999,"(41.781711555, -87.609612588)"
20130123,739,THEFT,41.783186768,-87.60724574,"(41.783186768, -87.60724574)"
20130123,900,BURGLARY,41.796807255,-87.60560675,"(41.796807255, -87.60560675)"
20130123,1051,BATTERY,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130123,1054,NARCOTICS,41.781238369,-87.60595147,"(41.781238369, -87.60595147)"
20130123,1220,DECEPTIVE PRACTICE,41.785167199,-87.609705726,"(41.785167199, -87.609705726)"
20130123,1300,ASSAULT,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130123,1435,CRIMINAL DAMAGE,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130123,1450,BATTERY,41.803950638,-87.59187828799999,"(41.803950638, -87.591878288)"
20130123,1530,BATTERY,41.802793341,-87.607904664,"(41.802793341, -87.607904664)"
20130123,1540,BATTERY,41.802157813,-87.61200857600002,"(41.802157813, -87.612008576)"
20130123,1615,BATTERY,41.783540187,-87.608455387,"(41.783540187, -87.608455387)"
20130123,1742,THEFT,41.799533271,-87.58989742899998,"(41.799533271, -87.589897429)"
20130123,1850,BURGLARY,41.79801043,-87.59461296,"(41.79801043, -87.59461296)"
20130123,1900,CRIMINAL DAMAGE,41.80579186,-87.61342027799999,"(41.80579186, -87.613420278)"
20130123,2245,CRIMINAL DAMAGE,41.782081397,-87.615196155,"(41.782081397, -87.615196155)"
20130124,1,OTHER OFFENSE,41.80062644,-87.59046793200001,"(41.80062644, -87.590467932)"
20130124,515,BURGLARY,41.802869042,-87.60642207,"(41.802869042, -87.60642207)"
20130124,735,NARCOTICS,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130124,815,NARCOTICS,41.783299299,-87.60724813700001,"(41.783299299, -87.607248137)"
20130124,1015,NARCOTICS,41.780441912,-87.603690974,"(41.780441912, -87.603690974)"
20130124,1040,NARCOTICS,41.780247905,-87.615146952,"(41.780247905, -87.615146952)"
20130124,1200,ASSAULT,41.783998557,-87.609337541,"(41.783998557, -87.609337541)"
20130124,1311,ASSAULT,41.797383158,-87.58546277299999,"(41.797383158, -87.585462773)"
20130124,1500,ASSAULT,41.802499513,-87.586041451,"(41.802499513, -87.586041451)"
20130124,1515,OTHER OFFENSE,41.780247905,-87.615146952,"(41.780247905, -87.615146952)"
20130124,1545,THEFT,41.784249699,-87.591067667,"(41.784249699, -87.591067667)"
20130124,1710,NARCOTICS,41.78169509,-87.609612773,"(41.78169509, -87.609612773)"
20130124,1830,MOTOR VEHICLE THEFT,41.782395857,-87.59084339200001,"(41.782395857, -87.590843392)"
20130124,1845,THEFT,41.794727026,-87.587624299,"(41.794727026, -87.587624299)"
20130124,1945,THEFT,41.805191219,-87.59190433,"(41.805191219, -87.59190433)"
20130125,0,THEFT,41.797978949000004,-87.59740420700001,"(41.797978949, -87.597404207)"
20130125,1145,THEFT,41.789164206,-87.60125259700001,"(41.789164206, -87.601252597)"
20130125,1205,BATTERY,41.805078225,-87.590555884,"(41.805078225, -87.590555884)"
20130125,1635,CRIMINAL DAMAGE,41.781238369,-87.60595147,"(41.781238369, -87.60595147)"
20130125,1900,CRIMINAL DAMAGE,41.785308691,-87.606037464,"(41.785308691, -87.606037464)"
20130125,2004,OTHER OFFENSE,41.780226662,-87.596195666,"(41.780226662, -87.596195666)"
20130125,2036,MOTOR VEHICLE THEFT,41.790744574,-87.58670237700001,"(41.790744574, -87.586702377)"
20130126,100,THEFT,41.796803532,-87.60588550899998,"(41.796803532, -87.605885509)"
20130126,100,ROBBERY,41.802697896,-87.61498799600002,"(41.802697896, -87.614987996)"
20130126,130,BATTERY,41.803152803,-87.607464154,"(41.803152803, -87.607464154)"
20130126,130,DECEPTIVE PRACTICE,41.799518741,-87.59104551700001,"(41.799518741, -87.591045517)"
20130126,1050,BATTERY,41.804997133,-87.610102486,"(41.804997133, -87.610102486)"
20130126,1100,BURGLARY,41.803417249,-87.585796054,"(41.803417249, -87.585796054)"
20130126,1103,BATTERY,41.808947743000004,-87.601687634,"(41.808947743, -87.601687634)"
20130126,1155,BATTERY,41.797572754,-87.60126325899998,"(41.797572754, -87.601263259)"
20130126,1500,THEFT,41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
20130126,1745,OTHER OFFENSE,41.781676796,-87.601095784,"(41.781676796, -87.601095784)"
20130126,2057,NARCOTICS,41.800732013,-87.603944955,"(41.800732013, -87.603944955)"
